KODE_INSTANSI;NAMA_INSTANSI;TINGKAT;NAMA_FORMASI;JENJANG
KL-KEMENKEU;Kementerian Keuangan;pusat;;
KL-KEMENDAGRI;Kementerian Dalam Negeri;pusat;;
KL-KEMENHUB;Kementerian Perhubungan;pusat;;
KL-KEMENHUKUM;Kementerian Hukum;pusat;;
KL-IMIPAS;Kementerian Imigrasi dan Pemasyarakatan;pusat;;
KL-BPS;Badan Pusat Statistik;pusat;;
KL-BMKG;Badan Meteorologi, Klimatologi, dan Geofisika;pusat;;
KL-BIN;Badan Intelijen Negara;pusat;;
KL-BSSN;Badan Siber dan Sandi Negara;pusat;;
PEMPROV-ACEH;Pemerintah Provinsi Aceh;daerah;;
PEMKAB-KABACEHBARAT;Pemerintah Kabupaten Aceh Barat;daerah;;
PEMKAB-KABACEHBARATDAYA;Pemerintah Kabupaten Aceh Barat Daya;daerah;;
PEMKAB-KABACEHBESAR;Pemerintah Kabupaten Aceh Besar;daerah;;
PEMKAB-KABACEHJAYA;Pemerintah Kabupaten Aceh Jaya;daerah;;
PEMKAB-KABACEHSELATAN;Pemerintah Kabupaten Aceh Selatan;daerah;;
PEMKAB-KABACEHSINGKIL;Pemerintah Kabupaten Aceh Singkil;daerah;;
PEMKAB-KABACEHTAMIANG;Pemerintah Kabupaten Aceh Tamiang;daerah;;
PEMKAB-KABACEHTENGAH;Pemerintah Kabupaten Aceh Tengah;daerah;;
PEMKAB-KABACEHTENGGARA;Pemerintah Kabupaten Aceh Tenggara;daerah;;
PEMKAB-KABACEHTIMUR;Pemerintah Kabupaten Aceh Timur;daerah;;
PEMKAB-KABACEHUTARA;Pemerintah Kabupaten Aceh Utara;daerah;;
PEMKAB-KABBENERMERIAH;Pemerintah Kabupaten Bener Meriah;daerah;;
PEMKAB-KABBIREUEN;Pemerintah Kabupaten Bireuen;daerah;;
PEMKAB-KABGAYOLUES;Pemerintah Kabupaten Gayo Lues;daerah;;
PEMKAB-KABNAGANRAYA;Pemerintah Kabupaten Nagan Raya;daerah;;
PEMKAB-KABPIDIE;Pemerintah Kabupaten Pidie;daerah;;
PEMKAB-KABPIDIEJAYA;Pemerintah Kabupaten Pidie Jaya;daerah;;
PEMKAB-KABSIMEULUE;Pemerintah Kabupaten Simeulue;daerah;;
PEMKOT-KOTABANDAACEH;Pemerintah Kota Banda Aceh;daerah;;
PEMKOT-KOTALANGSA;Pemerintah Kota Langsa;daerah;;
PEMKOT-KOTALHOKSEUMAWE;Pemerintah Kota Lhokseumawe;daerah;;
PEMKOT-KOTASABANG;Pemerintah Kota Sabang;daerah;;
PEMKOT-KOTASUBULUSSALAM;Pemerintah Kota Subulussalam;daerah;;
PEMPROV-BALI;Pemerintah Provinsi Bali;daerah;;
PEMKAB-KABBADUNG;Pemerintah Kabupaten Badung;daerah;;
PEMKAB-KABBANGLI;Pemerintah Kabupaten Bangli;daerah;;
PEMKAB-KABBULELENG;Pemerintah Kabupaten Buleleng;daerah;;
PEMKAB-KABGIANYAR;Pemerintah Kabupaten Gianyar;daerah;;
PEMKAB-KABJEMBRANA;Pemerintah Kabupaten Jembrana;daerah;;
PEMKAB-KABKARANGASEM;Pemerintah Kabupaten Karang Asem;daerah;;
PEMKAB-KABKLUNGKUNG;Pemerintah Kabupaten Klungkung;daerah;;
PEMKAB-KABTABANAN;Pemerintah Kabupaten Tabanan;daerah;;
PEMKOT-KOTADENPASAR;Pemerintah Kota Denpasar;daerah;;
PEMPROV-BANTEN;Pemerintah Provinsi Banten;daerah;;
PEMKAB-KABLEBAK;Pemerintah Kabupaten Lebak;daerah;;
PEMKAB-KABPANDEGLANG;Pemerintah Kabupaten Pandeglang;daerah;;
PEMKAB-KABSERANG;Pemerintah Kabupaten Serang;daerah;;
PEMKAB-KABTANGERANG;Pemerintah Kabupaten Tangerang;daerah;;
PEMKOT-KOTACILEGON;Pemerintah Kota Cilegon;daerah;;
