KODE_SEKOLAH;NAMA_SEKOLAH;KODE_PRODI;NAMA_PRODI;JENJANG
KD-PKNSTAN;Politeknik Keuangan Negara STAN;;;
KD-IPDN;Institut Pemerintahan Dalam Negeri;;;
KD-STIS;Politeknik Statistika STIS;;;
KD-STMKG;Sekolah Tinggi Meteorologi Klimatologi dan Geofisika;;;
KD-STIN;Sekolah Tinggi Intelijen Negara;;;
KD-POLTEKSSN;Politeknik Siber dan Sandi Negara;;;
KD-POLTEKPIN;Politeknik Pengayoman Indonesia;;;
KD-IMIPAS;Politeknik Imigrasi dan Pemasyarakatan;;;
KD-API-BWI;Akademi Penerbang Indonesia Banyuwangi;;;
KD-PPI-CRG;Politeknik Penerbangan Indonesia;;;
KD-PBG-JPR;Politeknik Penerbangan Jayapura;;;
KD-PBG-MKS;Politeknik Penerbangan Makassar;;;
KD-PBG-MDN;Politeknik Penerbangan Medan;;;
KD-PBG-PLM;Politeknik Penerbangan Palembang;;;
KD-PBG-SBY;Politeknik Penerbangan Surabaya;;;
KD-PIP-MKS;Politeknik Ilmu Pelayaran Makassar;;;
KD-PIP-SMG;Politeknik Ilmu Pelayaran Semarang;;;
KD-PIP-SLT;Politeknik Ilmu Pelayaran Sulawesi Utara;;;
KD-PPL-BTN;Politeknik Pelayaran Banten;;;
KD-PPL-BRB;Politeknik Pelayaran Barombong;;;
KD-PPL-MLH;Politeknik Pelayaran Malahayati;;;
KD-PPL-SRG;Politeknik Pelayaran Sorong;;;
KD-PPL-SMB;Politeknik Pelayaran Sumatera Barat;;;
KD-PPL-SBY;Politeknik Pelayaran Surabaya;;;
KD-STIP-JKT;Sekolah Tinggi Ilmu Pelayaran Jakarta;;;
KD-PKTJ-TGL;Politeknik Keselamatan Transportasi Jalan;;;
KD-PPI-MDN;Politeknik Perkeretaapian Indonesia;;;
KD-PTD-BALI;Politeknik Transportasi Darat Bali;;;
KD-PTDI-STTD;Politeknik Transportasi Darat Indonesia;;;
KD-PTSDP-PLM;Politeknik Transportasi Sungai, Danau, dan Penyeberangan Palembang;;;
